x,y,area,AnrissID
2608198.413,1145309.524,198.986154,Anriss0039
2608150.794,1145325.397,198.986154,Anriss0043
2608214.286,1145309.524,198.986154,Anriss0040
2608166.667,1145309.524,198.986154,Anriss0037
2608134.921,1145325.397,198.986154,Anriss0042
2608214.286,1145230.159,198.986154,Anriss0006
2608119.048,1145261.905,198.986154,Anriss0014
2608166.667,1145325.397,198.986154,Anriss0044
2608198.413,1145246.032,198.986154,Anriss0012
2608150.794,1145246.032,198.986154,Anriss0009
2608150.794,1145293.651,198.986154,Anriss0030
2608134.921,1145293.651,198.986154,Anriss0029
2608214.286,1145277.778,198.986154,Anriss0027
2608119.048,1145293.651,198.986154,Anriss0028
2608182.54,1145246.032,198.986154,Anriss0011
2608134.921,1145246.032,198.986154,Anriss0008
2608198.413,1145325.397,198.986154,Anriss0046
2608214.286,1145325.397,198.986154,Anriss0047
2608150.794,1145277.778,198.986154,Anriss0023
2608134.921,1145277.778,198.986154,Anriss0022
2608198.413,1145293.651,198.986154,Anriss0033
2608182.54,1145261.905,198.986154,Anriss0018
2608182.54,1145277.778,198.986154,Anriss0025
2608119.048,1145325.397,198.986154,Anriss0041
2608166.667,1145277.778,198.986154,Anriss0024
2608166.667,1145261.905,198.986154,Anriss0017
2608119.048,1145230.159,198.986154,Anriss0000
2608182.54,1145230.159,198.986154,Anriss0004
2608198.413,1145261.905,198.986154,Anriss0019
2608134.921,1145261.905,198.986154,Anriss0015
2608182.54,1145325.397,198.986154,Anriss0045
2608119.048,1145246.032,198.986154,Anriss0007
2608214.286,1145261.905,198.986154,Anriss0020
2608150.794,1145261.905,198.986154,Anriss0016
2608182.54,1145293.651,198.986154,Anriss0032
2608166.667,1145293.651,198.986154,Anriss0031
2608119.048,1145277.778,198.986154,Anriss0021
2608214.286,1145293.651,198.986154,Anriss0034
2608198.413,1145230.159,198.986154,Anriss0005
2608166.667,1145230.159,198.986154,Anriss0003
2608166.667,1145246.032,198.986154,Anriss0010
2608150.794,1145230.159,198.986154,Anriss0002
2608150.794,1145309.524,198.986154,Anriss0036
2608198.413,1145277.778,198.986154,Anriss0026
2608182.54,1145309.524,198.986154,Anriss0038
2608134.921,1145230.159,198.986154,Anriss0001
2608214.286,1145246.032,198.986154,Anriss0013
2608134.921,1145309.524,198.986154,Anriss0035
2608170.455,1145238.636,397.972308,Anriss0050
2608147.727,1145238.636,397.972308,Anriss0049
2608147.727,1145261.364,397.972308,Anriss0054
2608125,1145261.364,397.972308,Anriss0053
2608125,1145284.091,397.972308,Anriss0058
2608193.182,1145306.818,397.972308,Anriss0065
2608125,1145238.636,397.972308,Anriss0048
2608193.182,1145238.636,397.972308,Anriss0051
2608170.455,1145261.364,397.972308,Anriss0055
2608193.182,1145261.364,397.972308,Anriss0056
2608215.909,1145261.364,397.972308,Anriss0057
2608215.909,1145238.636,397.972308,Anriss0052
2608193.182,1145284.091,397.972308,Anriss0061
2608215.909,1145306.818,397.972308,Anriss0066
2608215.909,1145284.091,397.972308,Anriss0062
2608170.455,1145306.818,397.972308,Anriss0064
2608170.455,1145284.091,397.972308,Anriss0060
2608147.727,1145284.091,397.972308,Anriss0059
2608147.727,1145306.818,397.972308,Anriss0063
2608152.174,1145282.609,1492.396155,Anriss0069
2608195.652,1145326.087,1492.396155,Anriss0072
2608152.174,1145239.13,1492.396155,Anriss0067
2608195.652,1145239.13,1492.396155,Anriss0068
2608195.652,1145282.609,1492.396155,Anriss0070
2608152.174,1145326.087,1492.396155,Anriss0071
